1
                          **** CINEMATIQUE ****
 
78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        36.10        248.54         0.72       7551.46
        36.20        247.82         0.72       7552.18
        36.30        247.10         0.72       7552.90
        36.40        246.39         0.72       7553.61
        36.50        245.67         0.72       7554.33
        36.60        244.95         0.72       7555.05
        36.70        244.23         0.72       7555.77
        36.80        243.51         0.72       7556.49
        36.90        242.79         0.72       7557.21
        37.00        242.07         0.72       7557.93
        37.10        241.35         0.72       7558.65
        37.20        240.63         0.73       7559.37
        37.30        239.91         0.73       7560.09
        37.40        239.19         0.73       7560.81
        37.50        238.47         0.73       7561.53
        37.60        237.75         0.73       7562.25
        37.70        237.03         0.73       7562.97
        37.80        236.31         0.73       7563.69
        37.90        235.59         0.73       7564.41
        38.00        234.87         0.73       7565.13
        38.10        234.15         0.73       7565.85
        38.20        233.43         0.73       7566.57
        38.30        232.70         0.73       7567.30
        38.40        231.98         0.73       7568.02
        38.50        231.26         0.73       7568.74
        38.60        230.54         0.73       7569.46
        38.70        229.82         0.73       7570.18
        38.80        229.10         0.73       7570.90
        38.90        228.37         0.73       7571.63
        39.00        227.65         0.73       7572.35
        39.10        226.93         0.73       7573.07
        39.20        226.21         0.73       7573.79
        39.30        225.48         0.73       7574.52
        39.40        224.76         0.73       7575.24
        39.50        224.04         0.73       7575.96
        39.60        223.32         0.73       7576.68
        39.70        222.60         0.73       7577.40
        39.80        221.87         0.73       7578.13
        39.90        221.15         0.73       7578.85
        40.00        220.43         0.73       7579.57
        40.10        219.71         0.73       7580.29
        40.20        218.99         0.73       7581.01
        40.30        218.26         0.73       7581.74
        40.40        217.54         0.73       7582.46
        40.50        216.82         0.73       7583.18
        40.60        216.10         0.73       7583.90
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        40.70        215.38         0.73       7584.62
        40.80        214.66         0.73       7585.34
        40.90        213.93         0.73       7586.07
        41.00        213.21         0.73       7586.79
        41.10        212.49         0.73       7587.51
        41.20        211.77         0.73       7588.23
        41.30        211.05         0.73       7588.95
        41.40        210.33         0.73       7589.67
        41.50        209.61         0.73       7590.39
        41.60        208.89         0.73       7591.11
        41.70        208.17         0.73       7591.83
        41.80        207.45         0.73       7592.55
        41.90        206.73         0.73       7593.27
        42.00        206.01         0.73       7593.99
        42.10        205.29         0.73       7594.71
        42.20        204.57         0.73       7595.43
        42.30        203.86         0.73       7596.14
        42.40        203.14         0.73       7596.86
        42.50        202.42         0.73       7597.58
        42.60        201.70         0.73       7598.30
        42.70        200.98         0.73       7599.02
        42.80        200.27         0.73       7599.73
        42.90        199.55         0.73       7600.45
        43.00        198.83         0.73       7601.17
        43.10        198.12         0.73       7601.88
        43.20        197.40         0.73       7602.60
        43.30        196.69         0.73       7603.31
        43.40        195.97         0.73       7604.03
        43.50        195.26         0.73       7604.74
        43.60        194.54         0.73       7605.46
        43.70        193.83         0.73       7606.17
        43.80        193.12         0.73       7606.88
        43.90        192.40         0.73       7607.60
        44.00        191.69         0.73       7608.31
        44.10        190.98         0.73       7609.02
        44.20        190.26         0.73       7609.74
        44.30        189.55         0.73       7610.45
        44.40        188.84         0.73       7611.16
        44.50        188.13         0.73       7611.87
        44.60        187.42         0.73       7612.58
        44.70        186.71         0.73       7613.29
        44.80        186.00         0.73       7614.00
        44.90        185.29         0.73       7614.71
        45.00        184.58         0.73       7615.42
        45.10        183.88         0.73       7616.12
        45.20        183.17         0.73       7616.83
        45.30        182.46         0.73       7617.54
        45.40        181.76         0.73       7618.24
        45.50        181.05         0.73       7618.95
        45.60        180.34         0.73       7619.66
        45.70        179.64         0.73       7620.36
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        45.80        178.94         0.73       7621.06
        45.90        178.23         0.73       7621.77
        46.00        177.53         0.73       7622.47
        46.10        176.83         0.73       7623.17
        46.20        176.12         0.73       7623.88
        46.30        175.42         0.73       7624.58
        46.40        174.72         0.72       7625.28
        46.50        174.02         0.72       7625.98
        46.60        173.32         0.72       7626.68
        46.70        172.62         0.72       7627.38
        46.80        171.92         0.72       7628.08
        46.90        171.23         0.72       7628.77
        47.00        170.53         0.72       7629.47
        47.10        169.83         0.72       7630.17
        47.20        169.14         0.72       7630.86
        47.30        168.44         0.72       7631.56
        47.40        167.75         0.72       7632.25
        47.50        167.05         0.72       7632.95
        47.60        166.36         0.72       7633.64
        47.70        165.67         0.72       7634.33
        47.80        164.98         0.72       7635.02
        47.90        164.29         0.72       7635.71
        48.00        163.60         0.72       7636.40
        48.10        162.91         0.72       7637.09
        48.20        162.22         0.72       7637.78
        48.30        161.53         0.72       7638.47
        48.40        160.84         0.72       7639.16
        48.50        160.16         0.71       7639.84
        48.60        159.47         0.71       7640.53
        48.70        158.78         0.71       7641.22
        48.80        158.10         0.71       7641.90
        48.90        157.42         0.71       7642.58
        49.00        156.73         0.71       7643.27
        49.10        156.05         0.71       7643.95
        49.20        155.37         0.71       7644.63
        49.30        154.69         0.71       7645.31
        49.40        154.01         0.71       7645.99
        49.50        153.33         0.71       7646.67
        49.60        152.65         0.71       7647.35
        49.70        151.98         0.71       7648.02
        49.80        151.30         0.71       7648.70
        49.90        150.63         0.71       7649.37
        50.00        149.95         0.70       7650.05
        50.10        149.28         0.70       7650.72
        50.20        148.61         0.70       7651.39
        50.30        147.93         0.70       7652.07
        50.40        147.26         0.70       7652.74
        50.50        146.59         0.70       7653.41
        50.60        145.92         0.70       7654.08
        50.70        145.26         0.70       7654.74
        50.80        144.59         0.70       7655.41
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        50.90        143.92         0.70       7656.08
        51.00        143.26         0.70       7656.74
        51.10        142.59         0.70       7657.41
        51.20        141.93         0.70       7658.07
        51.30        141.27         0.70       7658.73
        51.40        140.60         0.69       7659.40
        51.50        139.94         0.69       7660.06
        51.60        139.28         0.69       7660.72
        51.70        138.62         0.69       7661.38
        51.80        137.97         0.69       7662.03
        51.90        137.31         0.69       7662.69
        52.00        136.65         0.69       7663.35
        52.10        136.00         0.69       7664.00
        52.20        135.35         0.69       7664.65
        52.30        134.69         0.69       7665.31
        52.40        134.04         0.69       7665.96
        52.50        133.39         0.68       7666.61
        52.60        132.74         0.68       7667.26
        52.70        132.09         0.68       7667.91
        52.80        131.44         0.68       7668.56
        52.90        130.80         0.68       7669.20
        53.00        130.15         0.68       7669.85
        53.10        129.51         0.68       7670.49
